,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,parle,speak
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,32,voici,here is
32,33,pourrais,could
33,34,donner,give
34,35,type,type
35,36,leurs,their
36,38,train,train
37,39,corps,body
38,42,écoute,listen
39,43,dont,whose
40,44,trouve,find
41,45,premier,first
42,46,perdu,lost
43,48,première,first
44,49,côté,side
45,50,pouvoir,power
46,51,vieux,old
47,52,sois,be
48,53,tiens,here
49,54,matin,morning
50,55,tellement,so much
51,56,point,point
52,57,venu,came
53,58,suite,after
54,59,pardon,sorry
55,60,venez,come
56,61,devant,in front of
57,62,vers,towards
58,63,minutes,minutes
59,64,demandé,request
60,65,chambre,bedroom
61,66,mis,placed
62,67,belle,beautiful
63,68,droit,law
64,69,aimerais,would like to
65,70,mari,husband
66,71,cause,cause
67,73,espère,hope
68,74,eau,water
69,75,parti,left
70,76,nouvelle,new
71,77,arrêter,Stop
72,79,terre,Earth
73,80,compte,account
74,81,donne,given
75,82,loin,far
76,83,fin,end
77,84,croire,believe
78,85,chérie,sweetheart
79,86,gros,large
80,87,plutôt,rather
81,88,aura,will have
82,89,filles,girls
83,90,jouer,to play
